"SerialNumber",Station,Waste Stream,Customer,Description,Status,Latitude,Longitude
2404077,yes,Trash,NYC Alliance for Downtown New York,N/W/C Barclays St & Greenwich St,In Service,40.713863366625255,-74.0119018767212
2404077-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Barclays St & Greenwich St,In Service,40.713863366625255,-74.0119018767212
2404078,yes,Trash,NYC Alliance for Downtown New York,N/E/C Broadway & Vesey ( CLOCK ),In Service,40.711479714917964,-74.00849094425814
2404078-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Broadway & Vesey ( CLOCK ),In Service,40.711479714917964,-74.00849094425814
2404079,yes,Trash,NYC Alliance for Downtown New York,S/E/C Battery St & West St,In Service,40.70470952880824,-74.01646666323836
2404079-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Battery St & West St,In Service,40.70470952880824,-74.01646666323836
2404080,yes,Trash,NYC Alliance for Downtown New York,S/W/C Wall St & Hanover St,In Service,40.70597538385071,-74.0088014656414
2404080-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Wall St & Hanover St,In Service,40.70597538385071,-74.0088014656414
2404081,yes,Trash,NYC Alliance for Downtown New York,S/E/C William St & Ann St,In Service,40.709764815329436,-74.00600988465578
2404081-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C William St & Ann St,In Service,40.709764815329436,-74.00600988465578
2404172,yes,Trash,NYC Alliance for Downtown New York,S/E/C Water St. & Wall St.,In Service,40.70510233363274,-74.00740636441805
2404172-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Water St. & Wall St.,In Service,40.70510233363274,-74.00740636441805
2404173,yes,Trash,NYC Alliance for Downtown New York,S/W/C Wall St & Pearl St,In Service,40.705532165743215,-74.0080184110451
2404173-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Wall St & Pearl St,In Service,40.705532165743215,-74.0080184110451
2404174,yes,Trash,NYC Alliance for Downtown New York,S/E/C Beakman St & Nassau St,In Service,40.71115725619615,-74.006486079463
2404174-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Beakman St & Nassau St,In Service,40.71115725619615,-74.006486079463
2404175,yes,Trash,NYC Alliance for Downtown New York,S/E/C Water St & Gouverneur La,In Service,40.70459789603922,-74.00808105260927
2404175-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Water St & Gouverneur La,In Service,40.70459789603922,-74.00808105260927
2404176,yes,Trash,NYC Alliance for Downtown New York,S/W/C South St & Broad St.,In Service,40.70180717675453,-74.01125166497712
2404176-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C South St & Broad St.,In Service,40.70180717675453,-74.01125166497712
2404177,yes,Trash,NYC Alliance for Downtown New York,S/E/C Water St & Moore St,In Service,40.70274346926414,-74.01225725204546
2404177-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Water St & Moore St,In Service,40.70274346926414,-74.01225725204546
2404178,yes,Trash,NYC Alliance for Downtown New York,S/E/C Williams St & Beaver St,In Service,40.70512293336345,-74.00993572883601
2404178-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Williams St & Beaver St,In Service,40.70512293336345,-74.00993572883601
2404179,yes,Trash,NYC Alliance for Downtown New York,S/E/C Water St & Old Sl,In Service,40.704012293161924,-74.00897154600221
2404179-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Water St & Old Sl,In Service,40.704012293161924,-74.00897154600221
2404180,yes,Trash,NYC Alliance for Downtown New York,Water St. & Pine St. between Wall & Maiden,In Service,40.70560899832268,-74.00668505886074
2404180-R,yes,Paper,NYC Alliance for Downtown New York,Water St. & Pine St. between Wall & Maiden,In Service,40.70560899832268,-74.00668505886074
2404181,yes,Trash,NYC Alliance for Downtown New York,S/W/C Coenties & Pearl St,In Service,40.70383085064415,-74.01055214293956
2404181-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Coenties & Pearl St,In Service,40.70383085064415,-74.01055214293956
2404182,yes,Trash,NYC Alliance for Downtown New York,Coenties Alley - Stone,In Service,40.704089359354,-74.01065186011886
2404182-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,Coenties Alley - Stone,In Service,40.704089359354,-74.01065186011886
2404183,yes,Trash,NYC Alliance for Downtown New York,N/W/C South St & Wall St,In Service,40.70431840259844,-74.00628689609056
2404183-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C South St & Wall St,In Service,40.70431840259844,-74.00628689609056
2404184,yes,Trash,NYC Alliance for Downtown New York,Wall St. Park Between Front & South,In Service,40.70459858395017,-74.00660997091677
2404184-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,Wall St. Park Between Front & South,In Service,40.70459858395017,-74.00660997091677
2404185,yes,Trash,NYC Alliance for Downtown New York,N/W/C Water St & Hanover Sq,In Service,40.70412922579575,-74.00894649191866
2404185-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Water St & Hanover Sq,In Service,40.70412922579575,-74.00894649191866
2404186,yes,Trash,NYC Alliance for Downtown New York,N/W/C Pearl St. & Hanover St,In Service,40.70493299975258,-74.00887028282068
2404186-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Pearl St. & Hanover St,In Service,40.70493299975258,-74.00887028282068
2404187,yes,Trash,NYC Alliance for Downtown New York,N/E/C Williams St. & Exchange Pl,In Service,40.70582168260205,-74.009792145998
2404187-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Williams St. & Exchange Pl,In Service,40.70582168260205,-74.009792145998
2404188,yes,Trash,NYC Alliance for Downtown New York,N/E/C Pearl St. & Hanover St,In Service,40.704502200248385,-74.00937233995057
2404188-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Pearl St. & Hanover St,In Service,40.704502200248385,-74.00937233995057
2404189,yes,Trash,NYC Alliance for Downtown New York,S/E/C Water & Coenties Sl,In Service,40.703251815074,-74.01016244680483
2404189-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Water & Coenties Sl,In Service,40.703251815074,-74.01016244680483
2404190,yes,Trash,NYC Alliance for Downtown New York,55 Water St,In Service,40.70359850469038,-74.00931486875612
2404190-R,yes,Paper,NYC Alliance for Downtown New York,55 Water St,In Service,40.70359850469038,-74.00931486875612
2404191,yes,Trash,NYC Alliance for Downtown New York,S/W/C Water St & Coenties Sl,In Service,40.70330468281486,-74.01033947259981
2404191-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Water St & Coenties Sl,In Service,40.70330468281486,-74.01033947259981
2404246,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Morris St,In Service,40.70579163383491,-74.01342811045072
2404246-L,yes,Paper,NYC Alliance for Downtown New York,S/W/C Broadway & Morris St,In Service,40.70579163383491,-74.01342811045072
2404247,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Park Pl,In Service,40.712483693353626,-74.00775235929888
2404247-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Broadway & Park Pl,In Service,40.712483693353626,-74.00775235929888
2404248,yes,Trash,NYC Alliance for Downtown New York,S/E/C Liberty St & Broadway,In Service,40.70906527213004,-74.01050552023776
2404248-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Liberty St & Broadway,In Service,40.70906527213004,-74.01050552023776
2404249,yes,Trash,NYC Alliance for Downtown New York,S/E/C Washington St & Morris St,In Service,40.70609367528497,-74.01515144288322
2404249-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Washington St & Morris St,In Service,40.70609367528497,-74.01515144288322
2404250,yes,Trash,NYC Alliance for Downtown New York,S/E/C Battery Pl & Greenwich st,In Service,40.704590459409644,-74.01489997966712
2404250-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Battery Pl & Greenwich st,In Service,40.704590459409644,-74.01489997966712
2404251,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Thames St,In Service,40.70857826860218,-74.01116968836061
2404251-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Broadway & Thames St,In Service,40.70857826860218,-74.01116968836061
2404252,yes,Trash,NYC Alliance for Downtown New York,S/W/C Wall St & Front St,In Service,40.704809566596985,-74.00705463498764
2404252-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Wall St & Front St,In Service,40.704809566596985,-74.00705463498764
2404253,yes,Trash,NYC Alliance for Downtown New York,S/W/C William St & Fulton St,In Service,40.709573233635155,-74.0065185171967
2404253-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C William St & Fulton St,In Service,40.709573233635155,-74.0065185171967
2404254,yes,Trash,NYC Alliance for Downtown New York,N/E/C William St & Fulton St,In Service,40.709593565456856,-74.00618592327885
2404254-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C William St & Fulton St,In Service,40.709593565456856,-74.00618592327885
2404255,yes,Trash,NYC Alliance for Downtown New York,S/E/C Broadway & Wall St,In Service,40.707707226913804,-74.01173570552254
2404255-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Broadway & Wall St,In Service,40.707707226913804,-74.01173570552254
2404256,yes,Trash,NYC Alliance for Downtown New York,S/E/C Broadway & Cedar St,In Service,40.70873553890552,-74.01084917116395
2404256-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Broadway & Cedar St,In Service,40.70873553890552,-74.01084917116395
2404257,yes,Trash,NYC Alliance for Downtown New York,N/E/C William St & Cedar St,In Service,40.707390765493706,-74.00849545274394
2404257-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C William St & Cedar St,In Service,40.707390765493706,-74.00849545274394
2404258,yes,Trash,NYC Alliance for Downtown New York,N/E/C Water & Old Slip,In Service,40.7041191996419,-74.00861356560665
2404258-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Water & Old Slip,In Service,40.7041191996419,-74.00861356560665
2404259,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Wall St ( Infront of Church),In Service,40.70779719769885,-74.01190066137696
2404259-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Broadway & Wall St ( Infront of Church),In Service,40.70779719769885,-74.01190066137696
2404260,yes,Trash,NYC Alliance for Downtown New York,N/E/C Broad St & Pearl St,In Service,40.70357933573575,-74.01151703372955
2404260-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Broad St & Pearl St,In Service,40.70357933573575,-74.01151703372955
2404261,yes,Trash,NYC Alliance for Downtown New York,N/W/C Fulton St & Dutch St,In Service,40.709930395175235,-74.00699857790988
2404261-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Fulton St & Dutch St,In Service,40.709930395175235,-74.00699857790988
2404262,yes,Trash,NYC Alliance for Downtown New York,N/E/C Broad St & S William St,In Service,40.70431946714704,-74.01154379814761
2404262-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Broad St & S William St,In Service,40.70431946714704,-74.01154379814761
2404263,yes,Trash,NYC Alliance for Downtown New York,S/E/C Broad St & Beaver St,In Service,40.70487460036539,-74.01149823372953
2404263-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Broad St & Beaver St,In Service,40.70487460036539,-74.01149823372953
