"SerialNumber",Station,Waste Stream,Customer,Description,Status,Latitude,Longitude
2403919-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Fulton St & Church St,In Service,40.71142337663489,-74.010423434762
2403921,yes,Trash,NYC Alliance for Downtown New York,N/W/C Whitehall St & Bridge St,In Service,40.70362816748471,-74.01318130859835
2403921-L,yes,Paper,NYC Alliance for Downtown New York,N/W/C Whitehall St & Bridge St,In Service,40.70362816748471,-74.01318130859835
2403922,yes,Trash,NYC Alliance for Downtown New York,N/W/C State St / South ferry,In Service,40.70237250314447,-74.01392162016828
2403923,yes,Trash,NYC Alliance for Downtown New York,S/E/C Whitehall St & Bridge St,In Service,40.703485831853314,-74.0130096472214
2403923-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Whitehall St & Bridge St,In Service,40.703485831853314,-74.0130096472214
2403924,yes,Trash,NYC Alliance for Downtown New York,S/W/C Beaver St & New St,In Service,40.70497917616238,-74.01274127794034
2403924-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Beaver St & New St,In Service,40.70497917616238,-74.01274127794034
2403925,yes,Trash,NYC Alliance for Downtown New York,N/E/C John St & Broadway. ( I.F.O Train station ),In Service,40.71016881998067,-74.00920505379793
2403925-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C John St & Broadway. ( I.F.O Train station ),In Service,40.71016881998067,-74.00920505379793
2403926,yes,Trash,NYC Alliance for Downtown New York,S/W/C State St & Pearl St,In Service,40.70314009945779,-74.01446205767212
2403926-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C State St & Pearl St,In Service,40.70314009945779,-74.01446205767212
2403927,yes,Trash,NYC Alliance for Downtown New York,S/E/C Broadway & Morris,In Service,40.705779434046164,-74.01325108465574
2403927-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Broadway & Morris,In Service,40.705779434046164,-74.01325108465574
2403928,yes,Trash,NYC Alliance for Downtown New York,S/W/C Whitehall St & Water St,In Service,40.702417396226046,-74.01286306726934
2403928-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Whitehall St & Water St,In Service,40.702417396226046,-74.01286306726934
2403929,yes,Trash,NYC Alliance for Downtown New York,N/E/C Whitehall St & Stone St,In Service,40.70409586700666,-74.01315048465574
2403929-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Whitehall St & Stone St,In Service,40.70409586700666,-74.01315048465574
2403930,yes,Trash,NYC Alliance for Downtown New York,N/W/C Battery Pl & Greenwich St,In Service,40.70483379991473,-74.01501522209014
2403930-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Battery Pl & Greenwich St,In Service,40.70483379991473,-74.01501522209014
2403956,yes,Trash,NYC Alliance for Downtown New York,S/W/C Washington St & Morris St,In Service,40.706436322704384,-74.01516727019003
2403956-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Washington St & Morris St,In Service,40.706436322704384,-74.01516727019003
2403957,yes,Trash,NYC Alliance for Downtown New York,S/W/C Trinity Pl & Thames St,In Service,40.70895672668726,-74.0122350790985
2403957-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Trinity Pl & Thames St,In Service,40.70895672668726,-74.0122350790985
2403958,yes,Trash,NYC Alliance for Downtown New York,N/E/C Battery St & West St,In Service,40.70487088332645,-74.01642871289329
2403958-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Battery St & West St,In Service,40.70487088332645,-74.01642871289329
2403959,yes,Trash,NYC Alliance for Downtown New York,S/E/C Broadway & Exchange Pl,In Service,40.70673694216651,-74.01249726502971
2403959-L,yes,Paper,NYC Alliance for Downtown New York,S/E/C Broadway & Exchange Pl,In Service,40.70673694216651,-74.01249726502971
2403960,yes,Trash,NYC Alliance for Downtown New York,N/W/C Washington St & Rector St,In Service,40.70823290308893,-74.01449081688003
2403960-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Washington St & Rector St,In Service,40.70823290308893,-74.01449081688003
2403961,yes,Trash,NYC Alliance for Downtown New York,S/E/C WashingtonSt & Rector St,In Service,40.708127175387986,-74.01441571502761
2403961-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C WashingtonSt & Rector St,In Service,40.708127175387986,-74.01441571502761
2403962,yes,Trash,NYC Alliance for Downtown New York,N/W/C Trinity Pl & Rector St,In Service,40.707842523051,-74.01298341541366
2403962-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Trinity Pl & Rector St,In Service,40.707842523051,-74.01298341541366
2403963,yes,Trash,NYC Alliance for Downtown New York,S/E/C West St.& Morris St,In Service,40.70662460395519,-74.01593116312102
2403963-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C West St.& Morris St,In Service,40.70662460395519,-74.01593116312102
2403964,yes,Trash,NYC Alliance for Downtown New York,N/E/C Trinity Pl & Thames St,In Service,40.70906855266513,-74.01210499196128
2403964-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Trinity Pl & Thames St,In Service,40.70906855266513,-74.01210499196128
2403966,yes,Trash,NYC Alliance for Downtown New York,S/E/C Cedar St & Trinity Pl,In Service,40.70927797171856,-74.01193467168883
2403966-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Cedar St & Trinity Pl,In Service,40.70927797171856,-74.01193467168883
2403967,yes,Trash,NYC Alliance for Downtown New York,N/E/C Battery Pl & Greenwich St,In Service,40.70481903349199,-74.01491997032241
2403967-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Battery Pl & Greenwich St,In Service,40.70481903349199,-74.01491997032241
2403968,yes,Trash,NYC Alliance for Downtown New York,S/W/C Greenwich St & Morris St,In Service,40.70619558207395,-74.01441839723662
2403968-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Greenwich St & Morris St,In Service,40.70619558207395,-74.01441839723662
2403969,yes,Trash,NYC Alliance for Downtown New York,N/W/C Battery Pl & Washington St,In Service,40.70497966618136,-74.01573267965392
2403969-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Battery Pl & Washington St,In Service,40.70497966618136,-74.01573267965392
2403970,yes,Trash,NYC Alliance for Downtown New York,S/W/C Trinity Pl & Edgar St,In Service,40.70689502864975,-74.0136566498764
2403970-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C Trinity Pl & Edgar St,In Service,40.70689502864975,-74.0136566498764
2403971,yes,Trash,NYC Alliance for Downtown New York,N/E/C West St & Rector St,In Service,40.7084921385685,-74.01511644213275
2403971-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C West St & Rector St,In Service,40.7084921385685,-74.01511644213275
2403972,yes,Trash,NYC Alliance for Downtown New York,N/W/C Greenwich St & Rector St,In Service,40.70807024501791,-74.01365128545837
2403972-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Greenwich St & Rector St,In Service,40.70807024501791,-74.01365128545837
2403973,yes,Trash,NYC Alliance for Downtown New York,S/E/C Battery Pl & Washington St,In Service,40.70472804201826,-74.01559052257613
2403973-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Battery Pl & Washington St,In Service,40.70472804201826,-74.01559052257613
2403974,yes,Trash,NYC Alliance for Downtown New York,N/E/C Trinity Pl & Morris St,In Service,40.70621388164192,-74.01429501562194
2403974-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Trinity Pl & Morris St,In Service,40.70621388164192,-74.01429501562194
2403976,yes,Trash,NYC Alliance for Downtown New York,State St & Battery PL 4 Train Entrance.,In Service,40.70439762500675,-74.01434530704097
2403976-R,yes,Paper,NYC Alliance for Downtown New York,State St & Battery PL 4 Train Entrance.,In Service,40.70439762500675,-74.01434530704097
2403983,yes,Trash,NYC Alliance for Downtown New York,N/W/C Fulton St & Cliff St,In Service,40.70843856435492,-74.00478921779097
2403983-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Fulton St & Cliff St,In Service,40.70843856435492,-74.00478921779097
2403984,yes,Trash,NYC Alliance for Downtown New York,N/W/C John St & Cliff St,In Service,40.707950247437076,-74.00599683680537
2403984-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C John St & Cliff St,In Service,40.707950247437076,-74.00599683680537
2403985,yes,Trash,NYC Alliance for Downtown New York,N/E/C Ann St & Park Row,In Service,40.711290711068315,-74.00838767235257
2403985-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Ann St & Park Row,In Service,40.711290711068315,-74.00838767235257
2403986,yes,Trash,NYC Alliance for Downtown New York,S/E/C Park Row & Spruce St,In Service,40.71191079553688,-74.00608741779098
2403986-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Park Row & Spruce St,In Service,40.71191079553688,-74.00608741779098
2403987,yes,Trash,NYC Alliance for Downtown New York,N/E/C Pearl St & John St,In Service,40.7073490677502,-74.0052748165329
2403987-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Pearl St & John St,In Service,40.7073490677502,-74.0052748165329
2403988,yes,Trash,NYC Alliance for Downtown New York,N/E/C Ann st & Park Row,In Service,40.711289567781925,-74.0083910400894
2403988-R,yes,Paper,NYC Alliance for Downtown New York,N/E/C Ann st & Park Row,In Service,40.711289567781925,-74.0083910400894
2403989,yes,Trash,NYC Alliance for Downtown New York,N/W/C John St & Pearl St,In Service,40.707418198227565,-74.0054733
2403989-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C John St & Pearl St,In Service,40.707418198227565,-74.0054733
2403990,yes,Trash,NYC Alliance for Downtown New York,N/E/C Fulton St & Pearl St (Park),In Service,40.707781150452895,-74.00419722394258
2403990-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Fulton St & Pearl St (Park),In Service,40.707781150452895,-74.00419722394258
2403991,yes,Trash,NYC Alliance for Downtown New York,S/W/C Murray & W Broadway,In Service,40.714381833928826,-74.01025355277864
2403991-L,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Murray & W Broadway,In Service,40.714381833928826,-74.01025355277864
2403992,yes,Trash,NYC Alliance for Downtown New York,N/W/C John St & William St,In Service,40.708715414000814,-74.00732052209014
2403992-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C John St & William St,In Service,40.708715414000814,-74.00732052209014
2403993,yes,Trash,NYC Alliance for Downtown New York,S/E/C Fulton St & Ryders Al,In Service,40.7089122185679,-74.00523539447744
2403993-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Fulton St & Ryders Al,In Service,40.7089122185679,-74.00523539447744
2403994,yes,Trash,NYC Alliance for Downtown New York,S/E/C Fulton St & Cliff St,In Service,40.70835113596114,-74.004794582209
2403994-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Fulton St & Cliff St,In Service,40.70835113596114,-74.004794582209
2403995,yes,Trash,NYC Alliance for Downtown New York,N/W/C Beekman st & Nassau st,In Service,40.71125509637039,-74.00651210000001
2403995-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Beekman st & Nassau st,In Service,40.71125509637039,-74.00651210000001
2403996,yes,Trash,NYC Alliance for Downtown New York,S/W/C Gold St & Beekman St,In Service,40.70962497441661,-74.00492242631987
2403996-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Gold St & Beekman St,In Service,40.70962497441661,-74.00492242631987
2403998,yes,Trash,NYC Alliance for Downtown New York,S/E/C William St & Beekman St,In Service,40.71037123844074,-74.0056377110451
2403998-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C William St & Beekman St,In Service,40.71037123844074,-74.0056377110451
2403999,yes,Trash,NYC Alliance for Downtown New York,S/W/C Ann St & Nassau St,In Service,40.71060306575596,-74.00742942638931
2403999-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Ann St & Nassau St,In Service,40.71060306575596,-74.00742942638931
2404000,yes,Trash,NYC Alliance for Downtown New York,S/E/C John St & William St,In Service,40.70861527839838,-74.00728364171619
2404000-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C John St & William St,In Service,40.70861527839838,-74.00728364171619
2404001,yes,Trash,NYC Alliance for Downtown New York,N/E/C State St & Pearl St,In Service,40.70321330105764,-74.01437622698359
2404001-L,yes,Paper,NYC Alliance for Downtown New York,N/E/C State St & Pearl St,In Service,40.70321330105764,-74.01437622698359
2404002,yes,Trash,NYC Alliance for Downtown New York,S/E/C Fulton St & Pearl St,In Service,40.707770984266126,-74.00431926445276
2404002-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Fulton St & Pearl St,In Service,40.707770984266126,-74.00431926445276
2404013,yes,Trash,NYC Alliance for Downtown New York,S/E/C Liberty St & Nassau St,In Service,40.708571586664185,-74.00935154785043
2404013-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Liberty St & Nassau St,In Service,40.708571586664185,-74.00935154785043
2404014,yes,Trash,NYC Alliance for Downtown New York,S/W/C John St & Pearl St,In Service,40.70746174381663,-74.00559325040138
2404014-R,yes,Paper,NYC Alliance for Downtown New York,S/W/C John St & Pearl St,In Service,40.70746174381663,-74.00559325040138
2404015,yes,Trash,NYC Alliance for Downtown New York,S/E/C Maiden La & Front St,In Service,40.705725259512576,-74.00549157177562
2404015-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Maiden La & Front St,In Service,40.705725259512576,-74.00549157177562
2404016,yes,Trash,NYC Alliance for Downtown New York,N/E/C Wall st & Pearl st,In Service,40.70550002593084,-74.00781482091884
2404016-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Wall st & Pearl st,In Service,40.70550002593084,-74.00781482091884
2404017,yes,Trash,NYC Alliance for Downtown New York,S/E/C Liberty & William St,In Service,40.70769236845295,-74.00825650674591
2404017-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Liberty & William St,In Service,40.70769236845295,-74.00825650674591
2404018,yes,Trash,NYC Alliance for Downtown New York,S/W/C Broadway & Cedar St,In Service,40.708804667943625,-74.01096718836061
2404018-L,yes,Paper,NYC Alliance for Downtown New York,S/W/C Broadway & Cedar St,In Service,40.708804667943625,-74.01096718836061
2404019,yes,Trash,NYC Alliance for Downtown New York,N/W/C Vesey St & Broadway,In Service,40.711640137656985,-74.0087838916794
2404019-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Vesey St & Broadway,In Service,40.711640137656985,-74.0087838916794
2404020,yes,Trash,NYC Alliance for Downtown New York,N/W/C Liberty St & Nassau St,In Service,40.70866918081977,-74.00940921534425
2404020-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Liberty St & Nassau St,In Service,40.70866918081977,-74.00940921534425
2404021,yes,Trash,NYC Alliance for Downtown New York,N/W/C William St & Pine St,In Service,40.70699262365978,-74.00897697668648
2404021-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C William St & Pine St,In Service,40.70699262365978,-74.00897697668648
2404022,yes,Trash,NYC Alliance for Downtown New York,N/W/C Maiden La & Pearl St,In Service,40.70674104932743,-74.00675342883608
2404022-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Maiden La & Pearl St,In Service,40.70674104932743,-74.00675342883608
2404023,yes,Trash,NYC Alliance for Downtown New York,N/W/C Maiden La & Nassau St,In Service,40.7090265742965,-74.0089140766865
2404023-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Maiden La & Nassau St,In Service,40.7090265742965,-74.0089140766865
2404024,yes,Trash,NYC Alliance for Downtown New York,N/W/C Nassau & Cedar St,In Service,40.70822642963838,-74.00978967116396
2404024-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/W/C Nassau & Cedar St,In Service,40.70822642963838,-74.00978967116396
2404025,yes,Trash,NYC Alliance for Downtown New York,N/W/C Pearl St Cedar St,In Service,40.70644575377568,-74.00709535592802
2404025-R,yes,Paper,NYC Alliance for Downtown New York,N/W/C Pearl St Cedar St,In Service,40.70644575377568,-74.00709535592802
2404026,yes,Trash,NYC Alliance for Downtown New York,N/E/C Water St & John St,In Service,40.70685227525457,-74.00489386440069
2404026-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,N/E/C Water St & John St,In Service,40.70685227525457,-74.00489386440069
2404027,yes,Trash,NYC Alliance for Downtown New York,S/W/C Beaver St & Broad St,In Service,40.704894933621674,-74.01164843743436
2404027-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/W/C Beaver St & Broad St,In Service,40.704894933621674,-74.01164843743436
2404028,yes,Trash,NYC Alliance for Downtown New York,S/E/C Maiden La & Water St,In Service,40.70610836725775,-74.00603158773151
2404028-R,yes,Bottles/Cans,NYC Alliance for Downtown New York,S/E/C Maiden La & Water St,In Service,40.70610836725775,-74.00603158773151
2404029,yes,Trash,NYC Alliance for Downtown New York,S/E/C Gold St & Platt St,In Service,40.7077910676342,-74.0068187055225
2404029-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Gold St & Platt St,In Service,40.7077910676342,-74.0068187055225
2404031,yes,Trash,NYC Alliance for Downtown New York,S/E/C Maiden La & Pearl St,In Service,40.70664650225397,-74.00673599447748
2404031-R,yes,Paper,NYC Alliance for Downtown New York,S/E/C Maiden La & Pearl St,In Service,40.70664650225397,-74.00673599447748
